'COLORSTYLE','SKU','PO_HDR','COUNTRY_OF_ORIGIN','MATERIAL','PRODUCT_SHORT_NAME','PRODUCT_LONG_DESCRIPTION','COLOR_GROUP','COLOR_DESCRIPTION','BULLET_1','BULLET_2','BULLET_3','BULLET_4','BULLET_5','BULLET_6','BULLET_7','BULLET_8','BULLET_9','WEIGHT','KEYWORD_OCCASION'
319017801,'891950879774',114005,'IT','Leather','black leather horsebit loafers','Nothing brings Italian luxury to mind quite like Gucci. Carry on the tradition of superior goods with wares from the legendary Italian fashion house.','Black','Black','Smooth leather upper','Rounded toe','Silvertone horsebit at vamp','Leather interior','Leather sole','¾'''' heel','All measurements are approximate','','',,'day_casual'
319017801,'891950874267',113986,'IT','Leather','black leather horsebit loafers','Nothing brings Italian luxury to mind quite like Gucci. Carry on the tradition of superior goods with wares from the legendary Italian fashion house.','Black','Black','Smooth leather upper','Rounded toe','Silvertone horsebit at vamp','Leather interior','Leather sole','¾'''' heel','All measurements are approximate','','',,'day_casual'
319017801,'891951235852',114752,'IT','Leather','black leather horsebit loafers','Nothing brings Italian luxury to mind quite like Gucci. Carry on the tradition of superior goods with wares from the legendary Italian fashion house.','Black','Black','Smooth leather upper','Rounded toe','Silvertone horsebit at vamp','Leather interior','Leather sole','¾'''' heel','All measurements are approximate','','',,'day_casual'
319017801,'891951376692',114973,'IT','Leather','black leather horsebit loafers','Nothing brings Italian luxury to mind quite like Gucci. Carry on the tradition of superior goods with wares from the legendary Italian fashion house.','Black','Black','Smooth leather upper','Rounded toe','Silvertone horsebit at vamp','Leather interior','Leather sole','¾'''' heel','All measurements are approximate','','',,'day_casual'
319017801,'891951141603',114584,'IT','Leather','black leather horsebit loafers','Nothing brings Italian luxury to mind quite like Gucci. Carry on the tradition of superior goods with wares from the legendary Italian fashion house.','Black','Black','Smooth leather upper','Rounded toe','Silvertone horsebit at vamp','Leather interior','Leather sole','¾'''' heel','All measurements are approximate','','',,'day_casual'
319017801,'891951406764',114991,'IT','Leather','black leather horsebit loafers','Nothing brings Italian luxury to mind quite like Gucci. Carry on the tradition of superior goods with wares from the legendary Italian fashion house.','Black','Black','Smooth leather upper','Rounded toe','Silvertone horsebit at vamp','Leather interior','Leather sole','¾'''' heel','All measurements are approximate','','',,'day_casual'
319017801,'891950895330',113996,'IT','Leather','black leather horsebit loafers','Nothing brings Italian luxury to mind quite like Gucci. Carry on the tradition of superior goods with wares from the legendary Italian fashion house.','Black','Black','Smooth leather upper','Rounded toe','Silvertone horsebit at vamp','Leather interior','Leather sole','¾'''' heel','All measurements are approximate','','',,'day_casual'
319017801,'891950804202',113858,'IT','Leather','black leather horsebit loafers','Nothing brings Italian luxury to mind quite like Gucci. Carry on the tradition of superior goods with wares from the legendary Italian fashion house.','Black','Black','Smooth leather upper','Rounded toe','Silvertone horsebit at vamp','Leather interior','Leather sole','¾'''' heel','All measurements are approximate','','',,'day_casual'
319017801,'891950865012',113968,'IT','Leather','black leather horsebit loafers','Nothing brings Italian luxury to mind quite like Gucci. Carry on the tradition of superior goods with wares from the legendary Italian fashion house.','Black','Black','Smooth leather upper','Rounded toe','Silvertone horsebit at vamp','Leather interior','Leather sole','¾'''' heel','All measurements are approximate','','',,'day_casual'
319017801,'891951376630',114973,'IT','Leather','black leather horsebit loafers','Nothing brings Italian luxury to mind quite like Gucci. Carry on the tradition of superior goods with wares from the legendary Italian fashion house.','Black','Black','Smooth leather upper','Rounded toe','Silvertone horsebit at vamp','Leather interior','Leather sole','¾'''' heel','All measurements are approximate','','',,'day_casual'
319017801,'891951470031',115111,'IT','Leather','black leather horsebit loafers','Nothing brings Italian luxury to mind quite like Gucci. Carry on the tradition of superior goods with wares from the legendary Italian fashion house.','Black','Black','Smooth leather upper','Rounded toe','Silvertone horsebit at vamp','Leather interior','Leather sole','¾'''' heel','All measurements are approximate','','',,'day_casual'
319017801,'891951470055',115111,'IT','Leather','black leather horsebit loafers','Nothing brings Italian luxury to mind quite like Gucci. Carry on the tradition of superior goods with wares from the legendary Italian fashion house.','Black','Black','Smooth leather upper','Rounded toe','Silvertone horsebit at vamp','Leather interior','Leather sole','¾'''' heel','All measurements are approximate','','',,'day_casual'
319017801,'891950895347',113996,'IT','Leather','black leather horsebit loafers','Nothing brings Italian luxury to mind quite like Gucci. Carry on the tradition of superior goods with wares from the legendary Italian fashion house.','Black','Black','Smooth leather upper','Rounded toe','Silvertone horsebit at vamp','Leather interior','Leather sole','¾'''' heel','All measurements are approximate','','',,'day_casual'
319017801,'891950895309',113996,'IT','Leather','black leather horsebit loafers','Nothing brings Italian luxury to mind quite like Gucci. Carry on the tradition of superior goods with wares from the legendary Italian fashion house.','Black','Black','Smooth leather upper','Rounded toe','Silvertone horsebit at vamp','Leather interior','Leather sole','¾'''' heel','All measurements are approximate','','',,'day_casual'
319017801,'891950895347',113996,'IT','Leather','black leather horsebit loafers','Nothing brings Italian luxury to mind quite like Gucci. Carry on the tradition of superior goods with wares from the legendary Italian fashion house.','Black','Black','Smooth leather upper','Rounded toe','Silvertone horsebit at vamp','Leather interior','Leather sole','¾'''' heel','All measurements are approximate','','',,'day_casual'
319017801,'891950804219',113858,'IT','Leather','black leather horsebit loafers','Nothing brings Italian luxury to mind quite like Gucci. Carry on the tradition of superior goods with wares from the legendary Italian fashion house.','Black','Black','Smooth leather upper','Rounded toe','Silvertone horsebit at vamp','Leather interior','Leather sole','¾'''' heel','All measurements are approximate','','',,'day_casual'
319017801,'891950874243',113986,'IT','Leather','black leather horsebit loafers','Nothing brings Italian luxury to mind quite like Gucci. Carry on the tradition of superior goods with wares from the legendary Italian fashion house.','Black','Black','Smooth leather upper','Rounded toe','Silvertone horsebit at vamp','Leather interior','Leather sole','¾'''' heel','All measurements are approximate','','',,'day_casual'
